"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"NIFTYBEES","EQ","12-May-2025","268.49","272.49","279.49","270.89","279.10","278.94","276.89","96,55,176","2,67,34,27,580.39","71,749","56,32,194","58.33"
"NIFTYBEES","EQ","13-May-2025","278.94","278.75","281.25","275.30","275.81","275.65","276.47","95,87,074","2,65,05,66,158.13","58,422","66,18,554","69.04"
"NIFTYBEES","EQ","14-May-2025","275.65","276.90","277.27","274.70","276.80","276.57","276.27","54,42,213","1,50,35,21,965.69","39,669","34,64,457","63.66"
"NIFTYBEES","EQ","15-May-2025","276.57","276.90","280.76","274.70","279.34","280.17","278.08","1,13,53,337","3,15,71,80,328.75","60,299","50,93,336","44.86"
"NIFTYBEES","EQ","16-May-2025","280.17","280.99","280.99","278.38","280.20","280.21","280.10","44,85,107","1,25,62,61,404.06","44,531","27,08,503","60.39"
"NIFTYBEES","EQ","19-May-2025","280.21","280.05","281.34","279.00","279.78","279.21","279.93","42,89,298","1,20,06,95,001.37","52,998","28,15,683","65.64"
"NIFTYBEES","EQ","20-May-2025","279.21","280.89","280.89","276.62","277.01","276.89","278.10","56,83,232","1,58,04,93,972.81","58,217","39,74,759","69.94"
"NIFTYBEES","EQ","21-May-2025","276.89","276.89","279.14","276.40","277.50","277.55","277.73","45,84,056","1,27,31,43,065.57","36,668","21,18,241","46.21"
"NIFTYBEES","EQ","22-May-2025","277.55","277.90","277.90","274.37","276.22","275.91","275.41","91,01,780","2,50,67,17,946.19","66,056","57,77,792","63.48"
"NIFTYBEES","EQ","23-May-2025","275.91","282.00","284.19","274.98","278.40","278.37","277.94","54,80,146","1,52,31,31,505.94","33,318","32,52,990","59.36"
"NIFTYBEES","EQ","26-May-2025","278.37","276.51","280.95","276.51","279.70","279.89","279.94","80,40,183","2,25,07,96,648.16","55,023","57,38,839","71.38"
"NIFTYBEES","EQ","27-May-2025","279.89","279.89","280.89","276.90","278.30","278.25","278.35","1,02,51,014","2,85,33,26,173.16","72,684","40,62,211","39.63"
"NIFTYBEES","EQ","28-May-2025","278.25","278.00","279.99","277.12","277.75","277.69","277.73","49,66,659","1,37,93,91,939.29","38,301","32,55,112","65.54"
"NIFTYBEES","EQ","29-May-2025","277.69","278.78","279.09","277.02","279.04","278.54","278.09","46,32,027","1,28,81,18,816.64","32,609","20,44,278","44.13"
"NIFTYBEES","EQ","30-May-2025","278.54","279.89","279.89","277.71","278.00","277.97","278.30","35,21,102","97,99,11,157.92","35,179","16,81,256","47.75"
"NIFTYBEES","EQ","02-Jun-2025","277.97","276.00","278.38","275.00","277.52","277.60","276.68","57,33,152","1,58,62,43,277.85","77,354","30,95,402","53.99"
"NIFTYBEES","EQ","03-Jun-2025","277.60","278.00","278.60","275.41","275.75","275.77","276.51","75,75,648","2,09,47,66,030.83","69,906","39,70,357","52.41"
"NIFTYBEES","EQ","04-Jun-2025","275.77","276.50","276.89","275.15","276.58","276.46","276.31","27,85,742","76,97,39,743.20","31,476","18,22,256","65.41"
"NIFTYBEES","EQ","05-Jun-2025","276.46","277.90","279.34","276.37","277.97","278.05","277.95","72,73,297","2,02,16,42,478.35","41,518","38,96,358","53.57"
"NIFTYBEES","EQ","06-Jun-2025","278.05","278.90","280.85","277.00","280.45","280.50","279.52","1,19,45,116","3,33,89,36,515.11","50,831","86,73,498","72.61"
