date,symbol,series,prev_close,open_price,high_price,low_price,last_price,close_price,average_price,total_traded_quantity,turnover_rs,no_of_trades,deliverable_qty,pct_dly_qt_to_traded_qty,daily_return_pct,log_return,rolling_volatility_20,rolling_avg_20,rolling_avg_50
2025-10-13,NIFTYBEES,EQ,285.52,285.15,285.15,283.69,284.9,284.64,284.32,"39,39,547","1,12,01,09,047.32","59,502","22,94,948",58.25,-0.308,-0.0030868552643798413,0.005126766982819062,282.9355,280.7762
2025-10-14,NIFTYBEES,EQ,284.64,286.39,286.39,282.92,283.7,283.69,284.0,"49,83,304","1,41,52,70,455.32","38,987","24,34,508",48.85,-0.334,-0.0033431312259010427,0.005177184571393983,282.97249999999997,280.8646
2025-10-15,NIFTYBEES,EQ,283.69,284.28,286.45,283.73,286.15,286.07,285.74,"56,44,935","1,61,29,59,328.57","37,510","33,70,323",59.71,0.839,0.008354443425305443,0.005328990588322752,283.0385,281.0154
2025-10-16,NIFTYBEES,EQ,286.07,277.49,289.0,277.49,288.51,288.7,287.9,"84,82,862","2,44,22,24,383.20","39,129","60,35,565",71.15,0.919,0.00915155055196003,0.005643377990255432,283.1405,281.21139999999997
2025-10-17,NIFTYBEES,EQ,288.7,288.69,290.95,287.86,290.23,290.17,289.79,"1,05,88,073","3,06,83,13,333.46","45,999","64,34,180",60.77,0.509,0.005078871456037676,0.005720795610439723,283.3,281.4474
2025-10-20,NIFTYBEES,EQ,290.17,292.49,292.54,289.01,292.0,291.86,291.68,"76,01,294","2,21,71,41,461.63","56,406","48,56,668",63.89,0.582,0.00580727711467282,0.005775135205102376,283.596,281.73
2025-10-21,NIFTYBEES,EQ,291.86,292.92,292.92,291.49,291.65,291.87,292.13,"18,18,933","53,13,58,518.02","31,657","12,90,061",70.95,0.003,3.426241584634686e-05,0.005608918008226615,283.9465,282.05400000000003
2025-10-23,NIFTYBEES,EQ,291.87,293.13,295.38,291.88,292.6,292.39,293.95,"83,27,299","2,44,78,08,186.37","54,887","59,73,633",71.74,0.178,0.0017800299089513205,0.005594113328100111,284.437,282.4166
2025-10-24,NIFTYBEES,EQ,292.39,294.99,294.99,290.14,291.2,291.04,291.47,"59,56,293","1,73,61,08,946.14","40,725","32,00,496",53.73,-0.462,-0.004627812794585027,0.0055610320428072894,284.8495,282.7246
2025-10-27,NIFTYBEES,EQ,291.04,294.18,294.33,290.01,293.3,293.35,293.26,"64,59,908","1,89,44,43,094.80","48,653","39,83,521",61.67,0.794,0.007905720602056724,0.005466840946504739,285.4125,283.03700000000003
2025-10-28,NIFTYBEES,EQ,293.35,294.99,294.99,292.0,293.15,293.1,292.98,"56,95,772","1,66,87,50,494.80","37,645","36,50,919",64.1,-0.085,-0.000852587655022143,0.0048749179430243395,286.09299999999996,283.3402
2025-10-29,NIFTYBEES,EQ,293.1,291.01,294.9,291.01,294.8,294.5,294.36,"58,29,864","1,71,60,97,255.85","35,901","41,43,701",71.08,0.478,0.004765155374794662,0.004837772983589725,286.8555,283.6628
2025-10-30,NIFTYBEES,EQ,294.5,294.99,294.99,291.91,292.75,292.58,292.88,"45,22,400","1,32,45,24,386.47","37,883","30,84,678",68.21,-0.652,-0.006540869541701407,0.005076215698279669,287.602,283.8898
2025-10-31,NIFTYBEES,EQ,292.58,295.0,295.0,290.9,291.17,291.08,291.73,"44,43,200","1,29,62,30,684.13","36,859","27,90,944",62.81,-0.513,-0.005139990071054363,0.004986255616795101,288.219,284.0914
2025-11-03,NIFTYBEES,EQ,291.08,292.79,292.79,290.05,291.3,291.35,291.14,"67,86,625","1,97,58,32,583.62","68,726","51,18,879",75.43,0.093,0.0009271501101977237,0.004989094547576213,288.752,284.2686
2025-11-04,NIFTYBEES,EQ,291.35,291.54,291.64,289.5,289.59,289.59,290.03,"52,83,417","1,53,23,62,832.69","58,990","40,27,505",76.23,-0.604,-0.006059164060449876,0.005136307736720184,289.1535,284.4056
2025-11-06,NIFTYBEES,EQ,289.59,290.4,290.4,287.98,288.45,288.24,288.8,"68,69,446","1,98,38,65,763.25","69,089","46,39,522",67.54,-0.466,-0.004672663088795482,0.005297932833973,289.4045,284.5564
2025-11-07,NIFTYBEES,EQ,288.24,288.24,289.16,286.35,288.7,288.44,287.57,"58,82,266","1,69,15,68,703.17","46,962","35,12,932",59.72,0.069,0.0006936256087208525,0.005192373811457063,289.6325,284.6742
2025-11-10,NIFTYBEES,EQ,288.44,289.89,290.3,288.13,289.77,289.49,289.59,"48,84,041","1,41,43,62,721.64","54,338","31,61,038",64.72,0.364,0.0036336620535567256,0.005105398322800984,289.93850000000003,284.8728
2025-11-11,NIFTYBEES,EQ,289.49,287.01,291.08,287.01,291.0,290.82,289.55,"38,12,506","1,10,39,08,971.92","34,371","20,18,848",52.95,0.459,0.004583764983224145,0.005081873478533355,290.1435,285.1166
2025-11-12,NIFTYBEES,EQ,290.82,292.29,293.1,291.55,292.75,292.72,292.52,"42,19,988","1,23,44,13,443.60","30,501","25,79,334",61.12,0.653,0.006512001625611779,0.005136552551666099,290.5535,285.42900000000003
